L_center,ACT_C_L_kappakappa,error,fiducial_theory,bestfit_A_times_theory
5.300000000000000000e+01,2.353935778425300647e-07,1.591914448508090087e-08,2.078708129618383655e-07,2.104962683858471719e-07
8.350000000000000000e+01,1.822009562412871857e-07,9.815390805181736672e-09,1.773138337821256580e-07,1.795533476418253270e-07
1.230000000000000000e+02,1.367530288943217406e-07,6.979614670707425097e-09,1.396374873680393242e-07,1.414011404436285447e-07
1.720000000000000000e+02,1.000068698278145287e-07,5.468192424204944872e-09,1.054433242644403483e-07,1.067750973194022106e-07
2.315000000000000000e+02,7.578060729648841082e-08,4.755348452568126602e-09,7.852020732759923111e-08,7.951193532098705952e-08
3.015000000000000000e+02,6.166749254915385668e-08,4.793246595960180912e-09,5.870245863756369016e-08,5.944388397879684183e-08
3.825000000000000000e+02,4.391411558670519831e-08,3.949382152892613924e-09,4.402904240674635637e-08,4.458513917932177169e-08
4.760000000000000000e+02,4.091085811026311867e-08,3.230440614830666009e-09,3.284695255015048087e-08,3.326181699651594327e-08
5.820000000000000000e+02,2.492622707287490038e-08,2.725120759292910161e-09,2.453055019813124214e-08,2.484037660018330689e-08
7.005000000000000000e+02,1.558125490238122060e-08,2.599867624050252837e-09,1.855083025368931633e-08,1.878513143919704983e-08
