L_center,C_L_kappakappa,error
5.300000000000000000e+01,2.353935778425300647e-07,1.591914448508090087e-08
8.350000000000000000e+01,1.822009562412871857e-07,9.815390805181736672e-09
1.230000000000000000e+02,1.367530288943217406e-07,6.979614670707425097e-09
1.720000000000000000e+02,1.000068698278145287e-07,5.468192424204944872e-09
2.315000000000000000e+02,7.578060729648841082e-08,4.755348452568126602e-09
3.015000000000000000e+02,6.166749254915385668e-08,4.793246595960180912e-09
3.825000000000000000e+02,4.391411558670519831e-08,3.949382152892613924e-09
4.760000000000000000e+02,4.091085811026311867e-08,3.230440614830666009e-09
5.820000000000000000e+02,2.492622707287490038e-08,2.725120759292910161e-09
7.005000000000000000e+02,1.558125490238122060e-08,2.599867624050252837e-09
