L_center,ACT_C_L_kappakappa,error,fiducial_theory,scale_dependent_model
5.300000000000000000e+01,2.353935778425300647e-07,1.591914448508090087e-08,2.078708129618383655e-07,2.132767312212433000e-07
8.350000000000000000e+01,1.822009562412871857e-07,9.815390805181736672e-09,1.773138337821256580e-07,1.808115749343618667e-07
1.230000000000000000e+02,1.367530288943217406e-07,6.979614670707425097e-09,1.396374873680393242e-07,1.416447811049537036e-07
1.720000000000000000e+02,1.000068698278145287e-07,5.468192424204944872e-09,1.054433242644403483e-07,1.064706142958430820e-07
2.315000000000000000e+02,7.578060729648841082e-08,4.755348452568126602e-09,7.852020732759923111e-08,7.896292125954052510e-08
3.015000000000000000e+02,6.166749254915385668e-08,4.793246595960180912e-09,5.870245863756369016e-08,5.881917762799614870e-08
3.825000000000000000e+02,4.391411558670519831e-08,3.949382152892613924e-09,4.402904240674635637e-08,4.397184046771334940e-08
4.760000000000000000e+02,4.091085811026311867e-08,3.230440614830666009e-09,3.284695255015048087e-08,3.270503819002798994e-08
5.820000000000000000e+02,2.492622707287490038e-08,2.725120759292910161e-09,2.453055019813124214e-08,2.435642986574334021e-08
7.005000000000000000e+02,1.558125490238122060e-08,2.599867624050252837e-09,1.855083025368931633e-08,1.837165832755010322e-08
