L,Ahat,error_Ahat,fiducial,amplitude_fit,scale_dependent_fit
5.850000000000000000e+01,6.540000000000000258e-01,2.620999896468123036e-01,1.000000000000000000e+00,9.688216714575788036e-01,1.037543417734401618e+00
7.950000000000000000e+01,1.016999999999999904e+00,2.038647476532363390e-01,1.000000000000000000e+00,9.688216714575788036e-01,1.021860825598891687e+00
1.085000000000000000e+02,1.034999999999999920e+00,1.712575630337276056e-01,1.000000000000000000e+00,9.688216714575788036e-01,1.005960279526030510e+00
1.480000000000000000e+02,9.719999999999999751e-01,1.487668205463742455e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.900868851556710037e-01
2.015000000000000000e+02,1.050999999999999934e+00,1.430941610604943570e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.743098672504389990e-01
2.740000000000000000e+02,1.036999999999999922e+00,1.567507957530233087e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.585961657232111577e-01
3.725000000000000000e+02,1.173999999999999932e+00,1.532061361736315463e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.428942131468143195e-01
5.070000000000000000e+02,8.369999999999999662e-01,1.550684942974000224e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.271326943641476914e-01
6.895000000000000000e+02,6.270000000000000018e-01,1.845111426149685097e-01,1.000000000000000000e+00,9.688216714575788036e-01,9.114130124310655390e-01
9.375000000000000000e+02,7.700000000000000178e-01,2.356125853811175119e-01,1.000000000000000000e+00,9.688216714575788036e-01,8.957038441619309399e-01
1.275500000000000000e+03,1.290000000000000036e+00,3.242521817909843618e-01,1.000000000000000000e+00,9.688216714575788036e-01,8.799626328195104819e-01
1.735500000000000000e+03,6.800000000000000488e-01,4.886351704057599332e-01,1.000000000000000000e+00,9.688216714575788036e-01,8.642173047308279177e-01
